Unique Artist Name
"""Mama"" Cass Elliot"
'Til Tuesday
.38 Special
"10,000 Maniacs"
100 Proof (Aged in Soul)
10cc
112
112featuringFoxy Brown
112featuringLil Zane
112featuringThe Notorious B.I.G.
1910 Fruitgum Company
2 Chainz
2 ChainzfeaturingDrake
2 PistolsfeaturingT-PainandTay Dizm
20 FingersfeaturingGillette
21 Savage
24kGoldnfeaturingIann Dior
2Pac
2Pacfeaturing Eric Williams
2PacfeaturingK-Ci and JoJo/2PacfeaturingDr. DreandRoger Troutman
3 Doors Down
3LW
3OH!3
3OH!3featuringKesha
3T
4 Non Blondes
4 P.M.
4BatzandDrake
5 Seconds of Summer
50 Cent
50 CentfeaturingJustin TimberlakeandTimbaland
50 CentfeaturingMobb Deep
50 CentfeaturingNate Dogg
50 CentfeaturingOlivia
69 Boyz
6ix9ine
6ix9inefeaturingNicki MinajandMurda Beatz
702
8th Day
95 South
98 Degrees
? and the Mysterians
A Boogie wit da Hoodie
A Boogie wit da Hoodiefeaturing6ix9ine
A Boogie wit da HoodiefeaturingKodak Black
A Flock of Seagulls
A Great Big WorldandChristina Aguilera
A Taste of Honey
A'Me Lorain
ABBA
ABC
AJR
ASAP FergfeaturingNicki Minaj
"ASAP RockyfeaturingDrake,2 ChainzandKendrick Lamar"
AZ
Aaliyah
Aaron Hall
Aaron Neville
Ace
Ace Cannon
Ace Frehley
Ace HoodfeaturingFutureandRick Ross
Ace of Base
Acker Bilk
Adam Ant
Adam ClaytonandLarry Mullen
Adam Lambert
Adam Wade
Adele
Adina Howard
Aerosmith
After 7
After the Fire
Ahmad
Air Supply
Akon
AkonfeaturingColby O'DonisandKardinal Offishall
AkonfeaturingEminem
AkonfeaturingSnoop Dogg
AkonfeaturingStyles P
Al B. Sure!
Al Green
Al Hirt
Al Martino
Al Stewart
Al Wilson
Alabama
AlabamaandNSYNC
Alan Jackson
Alan JacksonfeaturingJimmy Buffett
Alan O'Day
Alanis Morissette
Alannah Myles
Albert Hammond
Alessia Cara
Alex Clare
Alice Cooper
Alice Deejay
Alicia Bridges
Alicia Keys
Alicia KeysfeaturingNicki Minaj
Alicia KeysfeaturingTony! Toni! Toné!
Alive N Kickin'
All Saints
All-4-One
Allan Sherman
Allurefeaturing112
Aloe Blacc
Amanda Perez
Amazing Rhythm Aces
Amber
Ambrosia
America
American Authors
Amerie
Amii Stewart
Aminé
Amy Grant
Amy Winehouse
Andrea True Connection
Andrew Gold
Andy Gibb
Andy Grammer
Andy Kim
Andy Williams
Angie MartinezfeaturingLil' MoandSacario
Animotion
Anita Baker
Anita Bryant
Anita Ward
Ann WilsonandRobin Zander
Anna Kendrick
Anne Murray
Annette Funicello
Annie Lennox
Another Bad Creation
Apollo 100
Aqua
Arcadia
Archie Bell & the Drells
Aretha Franklin
Aretha FranklinandGeorge Michael
Argent
Ariana Grande
Ariana GrandeandJustin Bieber
Ariana GrandeandSocial House
Ariana GrandeandThe Weeknd
Ariana GrandefeaturingDoja CatandMegan Thee Stallion
Ariana GrandefeaturingIggy Azalea
Ariana GrandefeaturingMac Miller
Ariana GrandefeaturingNicki Minaj
Ariana GrandefeaturingZedd
Arizona Zervas
Arlo Guthrie
Arrested Development
Artemas
Arthur Conley
Arthur Lyman
Ashanti
Asher Roth
Ashford & Simpson
Ashlee Simpson
Asia
Atlanta Rhythm Section
Atlantic Starr
Audioslave
Ava Max
Avant
Average White Band
Avicii
Avril Lavigne
Awolnation
Ayo & Teo
Az Yet
Az YetfeaturingPeter Cetera
B-Rock and the Bizz
B. J. Thomas & the Triumphs
B.B. King
B.J. Thomas
B.T. Express
B.W. Stevenson
B.o.B
B.o.BfeaturingBruno Mars
B.o.BfeaturingHayley Williams
B.o.BfeaturingRivers Cuomo
B2K
B2KandP. Diddy
BBMak
BRS Kash
BTS
Baauer
Baby BashfeaturingAkon
Baby BashfeaturingFrankie J
Baby BashfeaturingT-Pain
Baby Boy da Prince
Babyface
Bachman-Turner Overdrive
Bachman–Turner Overdrive
Backstreet Boys
Bad Bunny
Bad BunnyandBomba Estéreo
Bad BunnyandChencho Corleone
Bad BunnyandJhay Cortez
Bad BunnyandRauw Alejandro
Bad BunnyfeaturingDrake
Bad Company
Bad English
Bad Meets EvilfeaturingBruno Mars
Badfinger
Bailey Zimmerman
Baltimora
Bananarama
Bar-Kays
Barbara George
Barbara Lewis
Barbara Lynn
Barbara Mason
Barbra Streisand
Barbra Streisand&Barry Gibb
Barbra Streisand&Donna Summer
Barbra StreisandandBryan Adams
Barenaked Ladies
Barrett Strong
Barry Manilow
Barry Mann
Barry McGuire
Barry White
Bastille
Bay City Rollers
Bazuka
Bazzi
BazzifeaturingCamila Cabello
Beastie Boys
Bebe RexhafeaturingFlorida Georgia Line
Beck
Becky G
Becky GandKarol G
Bee Gees
Beenie ManfeaturingMs. Thing
Belinda Carlisle
Bell Biv DeVoe
Ben E. King
BeneefeaturingGus Dapperton
"Benny Blanco,HalseyandKhalid"
Benny Mardones
Benson Boone
Bent Fabric
Berlin
Bert Kaempfert
Bertie Higgins
Bette Midler
Better Than Ezra
Betty Everett
Betty Everett&Jerry Butler
Betty Wright
Beverly Bremers
Beyoncé
BeyoncéandShakira
BeyoncéfeaturingJay-Z
BeyoncéfeaturingSean Paul
BeyoncéfeaturingSlim ThugandBun B
Big Brother and the Holding Company
Big Mountain
Big PunisherfeaturingJoe
Big Sean
Big SeanfeaturingChris Brown
Big SeanfeaturingDrakeandKanye West
Big SeanfeaturingE-40
Big SeanfeaturingNicki Minaj
Big Tymers
Bill Anderson
Bill Black's Combo
Bill Conti
Bill Cosby
Bill MedleyandJennifer Warnes
Bill Pursell
Bill Withers
Billie Eilish
Billie Myers
Billy Bland
Billy Currington
Billy Grammer
Billy Idol
Billy J. Kramer&The Dakotas
Billy Joe Royal
Billy Joe and the Checkmates
Billy Joel
Billy Ocean
Billy Paul
Billy Preston
Billy PrestonandSyreeta
Billy Ray Cyrus
Billy Squier
Billy Swan
Billy Vaughn
Billy Vera and the Beaters
Biz Markie
BizarrapandShakira
Black Box
Black Eyed Peas
Black Eyed PeasandJ Balvin
Blackbear
Blackstreet
BlackstreetfeaturingDr. Dre
"BlackstreetfeaturingMýa,MaseandBlinky Blink"
Blake Shelton
Blake SheltonandGwen Stefani
Blake SheltonfeaturingPistol Anniesand Friends
Blanco Brown
Blaque
Blessid Union of Souls
Blink-182
BlocBoy JBfeaturingDrake
Blondie
"Blood, Sweat & Tears"
Bloodstone
Blu Cantrell
Blue Cheer
Blue Magic
Blue October
Blue Ridge Rangers
Blue Swede
Blueface
Blues Image
Blues Magoos
Blues Traveler
Bo Donaldson and The Heywoods
BoDeans
Bob Dylan
Bob Lind
Bob Luman
Bob Moore
Bob Seger
Bob Seger & The Silver Bullet Band
Bob Seger System
Bob Seger and the Silver Bullet Band
Bob Welch
Bobbi Martin
Bobbie Gentry
Bobby 'Boris' Pickett
Bobby Bare
Bobby Brown
Bobby Caldwell
Bobby Darin
Bobby Freeman
Bobby Goldsboro
Bobby Hebb
Bobby Helms
Bobby Lewis
Bobby McFerrin
Bobby Rydell
Bobby Sherman
Bobby Shmurda
Bobby Valentino
